iid1	iid2	Nonnormalized_P0	Nonnormalized_P0_serr	OverlapNSNPs
Sample38	Sample13	0.268108017161605	0.003656655078065	35661
Sample38	Sample57	0.268307972872856	0.0050538207922342	17547
Sample38	Sample54	0.286109623281557	0.0064449459331289	11202
Sample38	Sample7	0.260460426819022	0.0058042813068788	11902
Sample38	Sample58	0.269252201047587	0.0052613070807714	17946
Sample38	Sample27	0.276308256040307	0.0045071531138377	26199
Sample38	Sample45	0.252345844504021	0.0071722050442159	5968
Sample38	Sample24	0.244314868804665	0.005336077224702	12005
Sample38	Sample22	0.189469148878875	0.0032998959313566	55703
Sample38	Sample25	0.249188311688312	0.006950635328691	6160
Sample38	Sample31	0.249499799919968	0.0058514391403726	9996
Sample38	Sample18	0.246250367611019	0.005417706887088	10201
Sample26	Sample52	0.271325796505653	0.0079076775408561	5838
Sample26	Sample50	0.277961614824619	0.0110439389579529	3022
Sample26	Sample40	0.292023731048121	0.0147971175976384	1517
Sample26	Sample47	0.270156774916013	0.0100649658932165	3572
Sample26	Sample32	0.25395256916996	0.006450729781385	8096
Sample26	Sample33	0.263227513227513	0.0103735487776712	3780
Sample26	Sample14	0.268738574040219	0.0091970417291161	4376
Sample26	Sample9	0.265196204154912	0.0094653356838471	3899
Sample26	Sample11	0.257559587335468	0.006076968457233	8433
Sample26	Sample53	0.263390263738817	0.0063852300577374	8607
Sample26	Sample46	0.259269102990033	0.0073058509725686	7525
Sample26	Sample55	0.268622375611159	0.0098386373546695	3477
Sample26	Sample34	0.256811487481591	0.0074343459932112	5432
Sample26	Sample5	0.273940345368917	0.01552969274463	1274
Sample26	Sample39	0.264604810996564	0.0102376162301553	3492
Sample26	Sample49	0.267533936651584	0.0131064340447557	1768
Sample26	Sample56	0.261261261261261	0.0070785256147916	6327
Sample26	Sample20	0.257021727609963	0.0121740215298588	1887
Sample26	Sample36	0.275532377227292	0.0117430622147959	2301
Sample26	Sample37	0.25822152065246	0.0064106880779159	7602
Sample26	Sample41	0.255988023952096	0.0055922078047178	14028
Sample26	Sample28	0.284539473684211	0.0161056490856285	1216
Sample26	Sample2	0.271081031644412	0.0076951361620424	5467
Sample26	Sample29	0.275357267340537	0.0106831938995751	2869
Sample26	Sample30	0.262901824500434	0.0072529760679358	5755
Sample26	Sample3	0.275829827021973	0.0121227734999739	2139
Sample26	Sample8	0.252032520325203	0.0172817716816048	861
Sample26	Sample42	0.272455834784772	0.0095106975576367	4019
Sample26	Sample35	0.273782771535581	0.0076615346613917	5340
Sample26	Sample12	0.264376996805112	0.0153765038554188	1252
Sample26	Sample21	0.267857142857143	0.0179413733744657	896
Sample26	Sample16	0.259426847662142	0.0146226362015897	1326
Sample26	Sample19	0.267813267813268	0.0087323533156321	4884
Sample26	Sample15	0.275192378160498	0.0117165628815171	2729
Sample26	Sample10	0.267034990791897	0.0076566706541184	5430
Sample26	Sample23	0.268111147866358	0.007201760744838	6046
Sample26	Sample44	0.268190542662712	0.0075876275676156	5731
Sample26	Sample1	0.265447102468978	0.0064258821606689	7817
Sample26	Sample51	0.276491891040781	0.0075555304451769	6351
Sample26	Sample17	0.283180428134557	0.0108568009864378	3270
Sample26	Sample48	0.275271273557967	0.0134173449105274	1751
Sample26	Sample13	0.264739884393064	0.007583391933488	5190
Sample26	Sample57	0.268720748829953	0.0106268375675357	2564
Sample26	Sample54	0.264504054897068	0.0138398390674164	1603
Sample26	Sample7	0.285307517084283	0.0132400507129423	1756
Sample26	Sample58	0.262509335324869	0.0106803092749188	2678
Sample26	Sample27	0.286663124335813	0.0097329069193646	3764
Sample26	Sample45	0.263045793397231	0.017367606453078	939
Sample26	Sample24	0.244481236203091	0.0128478898729115	1812
